编号,品牌,商品名,类别,规格(ml),酒精度(%),能量(kJ/100ml),能量(kcal/100ml),蛋白质(g/100ml),脂肪(g/100ml),碳水化合物(g/100ml),糖(g/100ml),钠(mg/100ml),备注
1,青岛,经典啤酒,拉格啤酒,330,4.3,155,37,0.4,0,3.5,0,10,青岛经典 国家食物成分表数据
2,青岛,纯生啤酒,拉格啤酒,330,4.3,160,38,0.4,0,3.8,0,10,纯生工艺
3,青岛,奥古特,高端拉格,330,4.5,165,39,0.5,0,4.0,0,12,麦芽含量更高
4,青岛,逸品纯生,高端拉格,330,4.0,155,37,0.4,0,3.5,0,10,
5,雪花,勇闯天涯,拉格啤酒,330,3.3,130,31,0.3,0,2.8,0,8,淡爽型
6,雪花,清爽,拉格啤酒,500,3.0,120,29,0.3,0,2.5,0,8,
7,雪花,脸谱,高端拉格,330,4.8,170,41,0.5,0,4.0,0,12,
8,雪花,马尔斯绿,拉格啤酒,330,4.0,150,36,0.4,0,3.5,0,10,
9,百威,百威啤酒,拉格啤酒,330,4.3,155,37,0.4,0,3.5,0,12,美式拉格
10,百威,百威纯生,拉格啤酒,330,4.0,150,36,0.4,0,3.2,0,10,
11,百威,科罗娜,拉格啤酒,330,4.5,165,39,0.4,0,4.0,0,10,墨西哥风味
12,百威,时代,拉格啤酒,330,5.0,175,42,0.5,0,4.2,0,12,比利时原版
13,燕京,10度纯生,拉格啤酒,500,4.3,160,38,0.4,0,3.8,0,10,
14,燕京,精酿白啤,白啤,330,5.0,175,42,0.5,0,4.5,0,12,小麦白啤
15,燕京,燕京U8,拉格啤酒,500,3.8,145,35,0.4,0,3.2,0,10,低醇型
16,嘉士伯,嘉士伯啤酒,拉格啤酒,330,5.0,175,42,0.5,0,4.2,0,12,丹麦原版
17,嘉士伯,乐堡,拉格啤酒,500,3.5,135,32,0.3,0,3.0,0,8,
18,喜力,喜力啤酒,拉格啤酒,330,5.0,180,43,0.4,0,4.0,0,12,荷兰拉格
19,喜力,喜力0.0无醇,无醇啤酒,330,0.0,60,14,0.3,0,3.0,2.8,8,含天然糖 无酒精
20,乌苏,新疆大乌苏,拉格啤酒,500,3.6,140,33,0.3,0,3.0,0,10,新疆特产
21,哈尔滨,哈尔滨啤酒,拉格啤酒,330,4.3,155,37,0.4,0,3.5,0,10,东北拉格
22,重庆啤酒,重庆啤酒,拉格啤酒,500,4.3,158,38,0.4,0,3.6,0,10,
23,珠江,珠江纯生,拉格啤酒,330,4.5,160,38,0.4,0,3.8,0,10,
24,泰山,原浆白啤,白啤,500,6.5,235,56,0.6,0,5.5,0,15,高酒精度白啤
25,布鲁克林,布鲁克林拉格,精酿啤酒,330,5.2,195,47,0.5,0,4.5,0,12,精酿美式拉格
26,熊猫精酿,IPA,精酿啤酒,330,6.5,240,57,0.6,0,5.5,0,15,印度淡色艾尔
27,优布劳,白啤,精酿白啤,500,5.1,185,44,0.5,0,4.8,0,12,
28,百威,福佳,比利时白啤,330,4.9,180,43,0.5,0,4.5,0,12,比利时白啤
29,福佳,桃味果啤,果啤,330,3.5,175,42,0.3,0,8.5,8.0,15,含桃汁甜味
30,力士,力士啤酒(白罐),拉格啤酒,500,4.5,160,38,0.4,0,3.8,0,10,德国啤酒
31,长城,干红葡萄酒,红葡萄酒,750,12.5,310,74,0.1,0,2.5,2.0,5,华夏长城 赤霞珠
32,张裕,解百纳干红,红葡萄酒,750,12.0,305,73,0.1,0,2.5,2.0,5,
33,张裕,多名利干红,红葡萄酒,750,12.5,310,74,0.1,0,2.5,2.0,5,
34,茅台,茅台葡萄酒,红葡萄酒,750,12.0,300,72,0.1,0,2.5,2.0,5,贵州茅台出品
35,王朝,王朝半干红,半干红,750,12.5,375,90,0.1,0,6.0,5.5,5,含较多残糖
36,长城,星级干白,白葡萄酒,750,12.0,290,69,0.1,0,3.0,2.5,5,
37,张裕,优选级白葡萄酒,白葡萄酒,750,11.5,280,67,0.1,0,3.0,2.5,5,
38,奔富,蔻兰山赤霞珠(澳洲),红葡萄酒,750,13.5,330,79,0.1,0,2.5,2.0,5,进口红酒
39,拉菲(副牌),传奇波尔多红(法国),红葡萄酒,750,13.5,330,79,0.1,0,2.5,2.0,5,进口
40,起泡酒/香槟,卡瓦起泡酒(西班牙),起泡葡萄酒,750,11.5,295,71,0.1,0,4.5,3.5,8,含CO2
41,长城,桃红葡萄酒,桃红葡萄酒,750,12.0,290,69,0.1,0,3.5,3.0,5,
42,大拉菲传奇,甜红葡萄酒,甜葡萄酒,750,12.0,480,115,0.1,0,13.0,12.5,5,高残糖
43,贺兰山,贺兰山干红,红葡萄酒,750,13.0,315,75,0.1,0,2.5,2.0,5,宁夏产区
44,西夏王,赤霞珠干红,红葡萄酒,750,12.5,310,74,0.1,0,2.5,2.0,5,宁夏产区
45,艾菲,冰酒(加拿大进口),冰酒,375,10.0,700,167,0.2,0,25.0,24.0,8,高糖冰葡萄酒
46,茅台,飞天茅台酱香白酒,酱香白酒,500,53.0,1238,296,0,0,0.5,0,0,53度国酒
47,五粮液,五粮液浓香白酒,浓香白酒,500,52.0,1214,290,0,0,0.5,0,0,52度
48,汾酒,玻汾汾酒,清香白酒,475,48.0,1116,267,0,0,0.5,0,0,48度
49,泸州老窖,泸州老窖特曲,浓香白酒,500,52.0,1214,290,0,0,0.5,0,0,52度
50,洋河,蓝色经典海之蓝,浓香白酒,480,42.0,977,233,0,0,0.5,0,0,42度
51,古井贡,年份原浆,浓香白酒,500,50.0,1165,278,0,0,0.5,0,0,50度
52,牛栏山,二锅头,清香白酒,500,56.0,1307,312,0,0,0.3,0,0,56度 北京特产
53,红星,二锅头(蓝标),清香白酒,500,43.0,1002,239,0,0,0.4,0,0,43度
