编号,品牌,商品名,类别,规格,能量(kJ/100g),能量(kcal/100g),蛋白质(g/100g),脂肪(g/100g),碳水化合物(g/100g),糖(g/100g),钠(mg/100g),备注
1,海天,味极鲜特级生抽,生抽酱油,500ml,50,12,2.0,0,0.9,0,955,每100ml 确认数据来自标签
2,海天,金标生抽,生抽酱油,500ml,60,14,2.5,0,1.5,0,5900,每100ml
3,海天,特级生抽,生抽酱油,500ml,58,14,2.2,0,1.2,0,5800,每100ml
4,海天,一品鲜酱油,生抽酱油,500ml,65,16,2.5,0,1.5,0,6200,每100ml 特级生抽
5,李锦记,薄盐生抽,生抽酱油,500ml,55,13,2.0,0,1.2,0,3900,每100ml 减盐约30%
6,李锦记,特级生抽,生抽酱油,500ml,65,16,2.5,0,1.5,0,5500,每100ml
7,千禾,特级生抽180天,生抽酱油,500ml,60,14,2.2,0,1.0,0,5600,每100ml 零添加
8,千禾,有机酱油特级,生抽酱油,500ml,55,13,2.0,0,1.0,0,5400,每100ml
9,鲁花,自然鲜酱清生抽,生抽酱油,500ml,55,13,2.0,0,1.0,0,5200,每100ml
10,厨邦,金品生抽,生抽酱油,500ml,60,14,2.3,0,1.3,0,5700,每100ml
11,厨邦,味极鲜,生抽酱油,500ml,55,13,2.0,0,1.0,0,5500,每100ml
12,珠江桥,特级生抽,生抽酱油,500ml,60,14,2.0,0,1.5,0,5600,每100ml
13,太太乐,鲜味生抽,生抽酱油,500ml,58,14,2.0,0,1.2,0,5500,每100ml
14,欣和,六月鲜生抽,生抽酱油,500ml,55,13,2.0,0,1.0,0,5400,每100ml 180天酿造
15,海天,减盐生抽,生抽酱油,500ml,50,12,2.0,0,1.0,0,4000,每100ml 钠减少30%
16,海天,草菇老抽,老抽酱油,500ml,350,84,5.0,0,17.5,15.0,4200,每100ml 含焦糖色
17,海天,老抽王,老抽酱油,500ml,340,81,5.0,0,16.5,14.0,4000,每100ml
18,李锦记,草菇老抽,老抽酱油,500ml,360,86,5.5,0,18.0,15.5,4100,每100ml
19,千禾,零添加老抽,老抽酱油,500ml,320,76,5.0,0,15.0,13.0,3800,每100ml 零添加
20,厨邦,草菇老抽,老抽酱油,500ml,350,84,5.0,0,17.0,14.5,4100,每100ml
21,珠江桥,老抽,老抽酱油,500ml,345,82,5.0,0,17.0,14.5,4000,每100ml
22,海天,佐餐老抽,老抽酱油,500ml,330,79,4.8,0,16.0,13.5,3900,每100ml
23,李锦记,旧庄老抽,老抽酱油,500ml,360,86,5.5,0,18.0,15.5,4100,每100ml
24,鲁花,头道老抽,老抽酱油,500ml,335,80,5.0,0,16.5,14.0,3950,每100ml
25,东古,金装一品鲜,老抽酱油,500ml,340,81,5.0,0,17.0,14.5,4050,每100ml
26,李锦记,蒸鱼豉油,蒸鱼豉油,410ml,105,25,1.2,0,4.5,3.5,2600,每100ml 特别适合清蒸鱼
27,海天,蒸鱼豉油,蒸鱼豉油,500ml,100,24,1.0,0,4.2,3.2,2500,每100ml
28,厨邦,葱姜蒸鱼豉油,蒸鱼豉油,500ml,110,26,1.2,0,4.8,3.8,2550,每100ml 添加葱姜提味
29,珠江桥,蒸鱼豉油,蒸鱼豉油,500ml,100,24,1.0,0,4.0,3.0,2480,每100ml
30,太太乐,蒸鱼豉油,蒸鱼豉油,410ml,105,25,1.1,0,4.5,3.5,2520,每100ml
31,海天,蚝油,蚝油,500g,295,71,3.5,0.5,13.5,8.0,3500,每100g 确认约73kcal/100g
32,李锦记,旧庄蚝油,蚝油,510g,305,73,4.0,0.5,13.5,8.5,3450,每100g 蚝汁含量较高
33,李锦记,熊猫蚝油,蚝油,500g,285,68,3.0,0.5,13.0,7.5,3300,每100g
34,厨邦,原汁蚝油,蚝油,500g,290,69,3.5,0.5,13.0,8.0,3400,每100g
35,海天,金标蚝油,蚝油,500g,310,74,4.0,0.5,14.0,9.0,3600,每100g 高端版
36,鲁花,海鲜蚝油,蚝油,500g,295,71,3.5,0.5,13.5,8.0,3500,每100g
