编号,品牌,商品名,类别,规格,能量(kJ/100g),能量(kcal/100g),蛋白质(g/100g),脂肪(g/100g),碳水化合物(g/100g),糖(g/100g),钠(mg/100g),钙(mg/100g),备注
1,伊利,全脂纯牛奶,全脂纯牛奶,250ml,280,67,3.2,3.8,4.7,4.7,60,104,液体≈每100ml
2,蒙牛,全脂纯牛奶,全脂纯牛奶,250ml,284,68,3.2,3.8,4.8,4.8,60,105,液体≈每100ml
3,光明,全脂纯牛奶,全脂纯牛奶,250ml,275,66,3.0,3.6,4.8,4.8,65,100,液体≈每100ml
4,新希望,全脂纯牛奶,全脂纯牛奶,250ml,280,67,3.1,3.8,4.6,4.6,65,102,液体≈每100ml
5,君乐宝,纯牛奶,全脂纯牛奶,250ml,280,67,3.1,3.8,4.6,4.6,65,100,液体≈每100ml
6,认养一头牛,纯牛奶,全脂纯牛奶,250ml,290,69,3.3,4.0,4.8,4.8,65,110,液体≈每100ml
7,三元,极致鲜牛奶,全脂纯牛奶,250ml,285,68,3.2,3.8,4.8,4.8,60,100,液体≈每100ml
8,完达山,纯牛奶,全脂纯牛奶,250ml,280,67,3.2,3.8,4.8,4.8,60,100,液体≈每100ml
9,飞鹤,纯牛奶,全脂纯牛奶,250ml,280,67,3.2,3.8,4.7,4.7,65,100,液体≈每100ml
10,皇氏乳业,纯牛奶,全脂纯牛奶,250ml,278,66,3.0,3.7,4.7,4.7,60,100,液体≈每100ml
11,伊利,金典纯牛奶,高端全脂牛奶,250ml,310,74,3.6,4.4,4.8,4.8,68,120,液体≈每100ml
12,蒙牛,特仑苏纯牛奶,高端全脂牛奶,250ml,320,76,3.6,4.5,4.8,4.8,70,125,液体≈每100ml
13,光明,优倍纯牛奶,高端全脂牛奶,950ml,340,81,3.6,4.8,4.9,4.9,70,120,液体≈每100ml
14,新希望,活润黄金牧场,高端全脂牛奶,950ml,320,76,3.4,4.5,4.8,4.8,65,115,液体≈每100ml
15,三元,极致3.8鲜牛奶,高端全脂牛奶,950ml,355,85,3.8,5.0,4.8,4.8,65,120,液体≈每100ml
16,伊利,金典有机纯牛奶,有机牛奶,250ml,315,75,3.6,4.4,4.8,4.8,65,120,液体≈每100ml
17,蒙牛,特仑苏有机纯牛奶,有机牛奶,250ml,325,78,3.8,4.5,4.8,4.8,70,125,液体≈每100ml
18,认养一头牛,有机纯牛奶,有机牛奶,250ml,310,74,3.4,4.2,4.8,4.8,65,115,液体≈每100ml
19,圣牧,有机纯牛奶,有机牛奶,250ml,300,72,3.3,4.0,4.7,4.7,65,110,液体≈每100ml
20,蒙牛,特仑苏娟姗有机纯牛奶,娟姗牛奶,200ml,380,91,4.0,5.8,4.4,4.4,60,130,液体≈每100ml 娟姗牛高脂高蛋白
21,伊利,金典娟姗有机纯牛奶,娟姗牛奶,200ml,380,91,4.0,5.5,4.5,4.5,60,130,液体≈每100ml
22,认养一头牛,娟姗纯牛奶,娟姗牛奶,200ml,370,88,4.0,5.3,4.5,4.5,60,128,液体≈每100ml
23,伊利,脱脂纯牛奶,脱脂牛奶,250ml,147,35,3.2,0.1,5.0,5.0,65,100,液体≈每100ml
24,蒙牛,脱脂牛奶,脱脂牛奶,250ml,147,35,3.1,0.1,5.0,5.0,65,100,液体≈每100ml
25,伊利,低脂纯牛奶,低脂牛奶,250ml,200,48,3.2,1.5,5.0,5.0,70,105,液体≈每100ml
26,光明,低脂纯牛奶,低脂牛奶,250ml,204,49,3.1,1.5,5.0,5.0,68,102,液体≈每100ml
27,君乐宝,低脂牛奶,低脂牛奶,250ml,200,48,3.0,1.5,5.0,5.0,65,100,液体≈每100ml
28,伊利,高钙低脂纯牛奶,高钙牛奶,250ml,204,49,3.2,1.6,5.2,5.2,80,150,液体≈每100ml 强化钙
29,蒙牛,高钙全脂牛奶,高钙牛奶,250ml,290,69,3.2,3.8,5.5,5.5,75,150,液体≈每100ml 强化钙
30,旺旺,旺仔牛奶原味,调制乳,125ml,295,71,2.3,2.5,11.5,11.0,60,80,液体≈每100ml 调制乳含糖
31,伊利,QQ星儿童牛奶,调制乳,200ml,310,74,3.5,3.5,8.0,8.0,90,130,液体≈每100ml 强化多种营养素
32,德亚,全脂牛奶(德国进口),进口牛奶,1000ml,265,63,3.4,3.5,5.0,5.0,55,120,液体≈每100ml 德国原装进口
33,蒙牛,特仑苏梦幻盖,调制乳,250ml,360,86,3.6,4.5,4.9,4.9,70,115,液体≈每100ml 添加乳铁蛋白
34,蒙牛,巧克力牛奶,调制乳,250ml,380,91,3.0,3.5,13.0,12.5,85,100,液体≈每100ml 含可可
35,光明,如实纯牛奶,全脂纯牛奶,950ml,278,66,3.0,3.5,4.8,4.8,60,100,液体≈每100ml
36,新希望,鲜语鲜牛奶,全脂纯牛奶,720ml,290,69,3.2,4.0,4.8,4.8,65,110,液体≈每100ml 鲜奶低温
37,伊利,经典原味酸奶,全脂原味酸奶,100g,385,92,2.8,3.2,12.5,12.0,65,100,每100g
38,蒙牛,纯甄原味酸奶,全脂原味酸奶,200g,390,93,3.1,3.2,12.0,11.5,75,105,每100g
39,光明,畅优原味酸奶,全脂原味酸奶,200g,380,91,2.9,3.0,12.5,12.0,65,100,每100g
40,君乐宝,纯享原味酸奶,全脂原味酸奶,200g,375,90,3.0,2.8,12.8,12.3,60,100,每100g
41,新希望,活润原味酸奶,全脂原味酸奶,200g,380,91,2.9,3.0,12.5,12.0,65,100,每100g
42,光明,低脂酸奶,低脂酸奶,200g,310,74,3.0,1.5,12.0,11.5,65,100,每100g
43,蒙牛,低脂酸奶,低脂酸奶,200g,305,73,2.8,1.5,12.5,12.0,65,100,每100g
44,简爱,父爱配方0蔗糖酸奶,无糖酸奶,200g,245,59,4.5,3.2,4.0,0,65,100,每100g 不添加蔗糖
45,北海牧场,无糖酸奶,无糖酸奶,200g,250,60,4.5,3.0,4.2,0,65,100,每100g
46,认养一头牛,0加糖酸奶,无糖酸奶,200g,248,59,4.0,3.5,4.0,0,60,100,每100g
47,卡士,CLASSY·KISS希腊式酸奶,希腊酸奶,135g,420,100,5.5,5.0,7.5,6.5,65,120,每100g 高蛋白质
48,伊利,畅轻希腊酸奶,希腊酸奶,200g,380,91,4.0,3.5,11.0,10.0,65,110,每100g
49,简爱,希腊酸奶原味,希腊酸奶,200g,400,96,5.0,4.5,9.5,8.5,60,110,每100g
50,伊利,安慕希原味,常温酸奶,205g,350,84,5.3,2.8,9.2,8.5,85,100,每100g 高蛋白常温酸奶
51,伊利,安慕希芒果椰子,常温酸奶,205g,365,87,5.0,2.8,10.5,10.0,90,100,每100g 风味常温酸奶
52,蒙牛,纯甄小蛮腰原味,常温酸奶,200g,330,79,3.1,2.0,11.5,11.0,70,105,每100g
53,光明,莫斯利安原味常温酸奶,常温酸奶,200g,280,67,2.5,2.5,9.5,9.0,85,100,每100g
54,君乐宝,开啡尔原味,益生菌酸奶,200g,356,85,4.2,2.8,10.0,9.5,80,110,每100g 开菲尔发酵
55,伊利,草莓果粒酸奶,风味酸奶,200g,390,93,2.5,3.0,14.0,13.5,65,90,每100g 含草莓果粒
56,蒙牛,真果粒芒果酸奶,风味酸奶,250g,370,88,2.5,2.5,14.5,14.0,70,90,每100g 含芒果果粒
57,光明,莱特低脂低糖酸奶,低脂酸奶,200g,315,75,3.0,1.8,11.0,10.0,65,100,每100g
