编号,品牌,商品名,类别,规格(g),能量(kJ/100g),能量(kcal/100g),蛋白质(g/100g),脂肪(g/100g),碳水化合物(g/100g),糖(g/100g),钠(mg/100g),备注
1,好欢螺,螺蛳粉原味,螺蛳粉,300,787,188,3.8,6.6,28.2,0.7,615,确认数据:整包300g共564kcal 钠1846mg
2,好欢螺,螺蛳粉加辣版,螺蛳粉,300,795,190,3.8,6.8,28.0,0.7,630,
3,好欢螺,螺蛳粉龙虾味,螺蛳粉,320,810,194,4.0,7.0,28.0,0.8,600,
4,螺霸王,螺蛳粉超辣版,螺蛳粉,400,780,186,4.0,6.5,28.0,0.8,590,
5,螺霸王,螺蛳粉原味,螺蛳粉,400,775,185,3.8,6.5,28.0,0.7,580,
6,柳江人家,螺蛳粉,螺蛳粉,360,790,189,3.8,6.8,28.0,0.7,600,
7,广西正宗,螺蛳粉(真空),螺蛳粉,350,800,191,4.0,7.0,27.5,0.8,580,
8,味滋美,螺蛳粉加量版,螺蛳粉,420,785,188,3.9,6.7,28.0,0.7,595,
9,嗨吃家,螺蛳粉,螺蛳粉,380,780,186,3.8,6.6,28.0,0.7,590,
10,来一份,螺蛳粉,螺蛳粉,300,785,188,3.8,6.8,27.8,0.7,600,
11,好欢螺,鸭血螺蛳粉,螺蛳粉,320,820,196,5.5,8.0,26.0,0.8,620,含鸭血
12,渔日,螺蛳粉清汤版,螺蛳粉,350,760,182,3.5,6.0,28.0,0.6,550,清汤版 较低钠
13,白象,热干面,热干面,180,1420,339,9.5,3.5,70.0,2.0,980,干面饼为主 值为干重
14,白象,原味热干面,热干面,175,1415,338,9.5,3.5,69.5,2.0,950,
15,白象,酱香热干面,热干面,180,1430,342,9.5,4.0,69.5,2.5,1050,含芝麻酱包
16,麻道,武汉热干面,热干面,160,1440,344,10.0,4.0,70.0,2.5,1020,武汉风味
17,今麦郎,拉面小食堂武汉热干面,热干面,140,1450,346,9.8,4.5,70.0,2.5,1000,袋装
18,蔡林记,热干面(正宗武汉风味),热干面,250,480,115,4.5,5.0,15.0,1.5,750,湿面版 即食
19,陈记,酸辣粉,酸辣粉,205,700,167,3.5,5.5,29.0,1.5,1200,含红薯粉
20,嗨吃家,酸辣粉,酸辣粉,202,690,165,3.5,5.5,28.5,1.5,1180,
21,白家阿宽,陈醋酸辣粉,酸辣粉,200,695,166,3.5,5.5,29.0,1.5,1150,
22,德庄,重庆酸辣粉,酸辣粉,220,705,168,3.8,5.8,28.5,1.6,1250,重庆风味
23,海底捞,酸辣粉,酸辣粉,200,710,170,3.5,6.0,28.5,1.5,1100,
24,光友,酸辣粉薯条款,酸辣粉,210,700,167,3.5,5.5,29.0,1.5,1200,
25,阿宽,藤椒酸辣粉,酸辣粉,200,695,166,3.8,5.5,28.5,1.5,1180,
26,阿宽,红油面皮,红油面皮,120,1480,354,9.0,5.5,71.5,3.0,1500,干面饼为主
27,宽窄,红油面皮,红油面皮,130,1470,351,9.0,5.5,71.0,3.0,1480,
28,岐山,臊子面挂面套装,臊子面,230,850,203,7.5,4.5,35.0,2.0,1350,含卤肉包
