编号,品牌,商品名,类别,规格(ml/杯),能量(kJ/100ml),能量(kcal/100ml),蛋白质(g/100ml),脂肪(g/100ml),碳水化合物(g/100ml),糖(g/100ml),钠(mg/100ml),备注
1,喜茶,芝芝莓莓,现制奶茶,500,242,58,1.5,3.2,8.5,7.5,65,标准甜 约290kcal/杯 官方披露数据
2,喜茶,多肉葡萄,现制奶茶,500,184,44,0.8,1.5,8.0,7.0,40,标准甜 约220kcal/杯
3,喜茶,满杯红柚,现制果茶,500,125,30,0.3,0.5,6.2,5.5,25,约150kcal/杯 低热量水果茶
4,喜茶,波波奶茶,现制奶茶,500,293,70,1.5,3.0,11.5,9.0,75,约350kcal/杯 含芋圆波波
5,喜茶,芝芝芒芒,现制奶茶,500,234,56,1.5,3.0,8.5,8.0,60,约280kcal/杯
6,喜茶,绿妍青柠茶(少糖),现制果茶,500,59,14,0.2,0,3.5,1.5,15,约70kcal/杯 低热量
7,喜茶,芝芝红豆,现制奶茶,500,259,62,2.0,3.5,9.0,7.5,75,约310kcal/杯 含红豆
8,喜茶,羽衣纤体瓶,现制果茶,330,146,35,0.5,0,8.5,0,30,115kcal/330ml瓶 官方数据 无糖含茶多酚180.5mg/100ml
9,霸王茶姬,伯牙绝弦,现制奶茶,500,109,26,1.5,2.2,2.8,2.5,45,约130kcal/杯 官方热量计算器数据 鲜奶乌龙 不另外加糖
10,霸王茶姬,花田乌龙,现制奶茶,500,92,22,1.2,1.8,2.5,2.0,40,约110kcal/杯 不另外加糖
11,霸王茶姬,摩洛哥薄荷,现制奶茶,500,117,28,1.5,2.5,2.5,2.2,45,约140kcal/杯
12,霸王茶姬,牛乳茶标准甜,现制奶茶,500,134,32,1.8,2.8,3.5,3.0,50,约160kcal/杯 霸王茶姬公开营养标识
13,奈雪的茶,霸气草莓,现制果茶,500,167,40,1.0,1.5,7.5,7.0,40,约200kcal/杯
14,奈雪的茶,星芋奶盖茶,现制奶茶,500,251,60,1.5,3.5,8.5,7.5,65,约300kcal/杯 含芝士奶盖
15,奈雪的茶,经典蜜桃乌龙,现制果茶,500,150,36,0.5,0.5,8.0,7.5,30,约180kcal/杯
16,奈雪的茶,宝藏果茶,现制果茶,500,125,30,0.5,0.5,6.5,6.0,25,约150kcal/杯
17,奈雪的茶,畅畅小绿瓶,现制果茶,500,134,32,0.5,0,8.0,0,30,约160kcal/杯 无糖 官方32kcal/100g 含茶多酚207.8mg/100g
18,蜜雪冰城,珍珠奶茶,现制奶茶,500,251,60,1.5,2.5,11.0,9.5,75,约300kcal/杯 含珍珠
19,蜜雪冰城,草莓奶昔,现制奶昔,500,293,70,2.5,2.5,13.0,12.0,85,约350kcal/杯
20,蜜雪冰城,冰鲜柠檬水,现制果茶,700,71,17,0,0,4.2,4.0,10,约120kcal/杯 低热量
21,蜜雪冰城,青瓜菠萝茶,现制果茶,700,80,19,0,0,4.8,4.5,15,134kcal/杯(官方) 低热量
22,蜜雪冰城,冰杯橙汁,现制果汁,500,167,40,0.5,0,9.5,9.0,10,约200kcal/杯
23,茶百道,杨枝甘露,现制奶茶,500,209,50,1.0,2.0,9.0,8.5,55,约250kcal/杯
24,茶百道,羽衣甘蓝轻畅杯,现制果茶,520,203,49,1.0,1.5,9.5,7.0,45,252kcal/520ml(官方) 标准甜去冰
25,茶百道,珍珠奶茶,现制奶茶,500,234,56,1.5,2.5,10.0,9.0,70,约280kcal/杯 含珍珠
26,古茗,满级甜心,现制奶茶,500,200,48,1.0,2.0,8.5,8.0,60,约240kcal/杯
27,古茗,橘子养乐多,现制果茶,500,150,36,0.5,0.5,7.5,7.0,30,约180kcal/杯
28,古茗,纤茶系列,现制果茶,500,100,24,0.5,0.5,5.0,4.5,25,约120kcal/杯 低热量系列
29,一点点,奶茶标准甜,现制奶茶,700,238,57,1.5,2.5,10.0,9.5,70,约400kcal/杯 大杯700ml
30,一点点,四季春青茶,现制果茶,700,107,26,0.3,0,6.2,6.0,20,约180kcal/杯
31,沪上阿姨,桂花拿铁,现制奶茶,500,167,40,1.5,2.0,6.5,6.0,50,约200kcal/杯
32,沪上阿姨,鲜奶茶,现制奶茶,500,184,44,1.5,2.5,7.0,6.5,55,约220kcal/杯
33,书亦烧仙草,烧仙草原味,现制特饮,500,167,40,0.5,0,9.5,8.0,30,约200kcal/杯 含仙草冻
34,瑞幸咖啡,生椰拿铁(大杯),现制咖啡,480,155,37,1.5,2.0,5.5,5.0,45,179kcal/480ml(官方) 大杯冰
35,瑞幸咖啡,拿铁(大杯/不加糖),现制咖啡,480,234,56,2.5,3.5,6.0,4.5,80,268kcal/480ml(官方) 全脂牛奶
36,瑞幸咖啡,厚乳拿铁,现制咖啡,480,200,48,2.0,3.0,6.0,5.5,65,约230kcal/480ml
37,瑞幸咖啡,冰美式(大杯/无糖),现制咖啡,480,17,4,0.3,0,0.8,0,10,约20kcal/杯 无糖纯咖啡
38,瑞幸咖啡,燕麦拿铁,现制咖啡,480,167,40,1.5,2.5,6.0,4.5,45,约190kcal/480ml 燕麦奶替代
39,瑞幸咖啡,椰云拿铁,现制咖啡,480,167,40,1.5,3.0,4.5,4.0,50,约200kcal/480ml 椰奶基底
40,瑞幸咖啡,丝绒拿铁,现制咖啡,480,209,50,2.0,3.2,6.5,6.0,70,约240kcal/480ml
41,星巴克,拿铁(大杯/无额外糖浆),现制咖啡,473,200,48,2.5,3.0,5.0,4.5,65,约225kcal/473ml(L码) 全脂奶
42,星巴克,抹茶拿铁(大杯),现制咖啡,473,265,63,2.5,3.5,9.0,8.5,75,约300kcal/473ml 含抹茶粉和糖浆
43,星巴克,冷萃美式(大杯),现制咖啡,473,17,4,0.5,0,1.0,0,10,约20kcal/473ml 无糖
44,星巴克,焦糖玛奇朵(大杯),现制咖啡,473,293,70,3.0,4.0,9.5,9.0,95,约330kcal/473ml 含焦糖糖浆
45,星巴克,燕麦拿铁,现制咖啡,473,209,50,2.0,3.0,6.5,5.0,55,约240kcal/473ml 燕麦奶
46,Manner,拿铁,现制咖啡,480,174,42,2.0,2.5,5.0,4.5,60,约200kcal/480ml
47,Manner,燕麦拿铁,现制咖啡,480,163,39,1.5,2.5,5.5,4.0,45,约185kcal/480ml
48,幸运咖,拿铁,现制咖啡,480,155,37,2.0,2.0,5.5,5.0,55,约180kcal/480ml
49,库迪咖啡,冰美式,现制咖啡,480,13,3,0.3,0,0.5,0,8,约15kcal/杯 无糖
50,Tims天好咖啡,拿铁,现制咖啡,480,188,45,2.5,3.0,5.5,5.0,70,约215kcal/杯
51,统一,阿萨姆奶茶原味,瓶装奶茶,500,230,55,0.6,1.7,9.2,8.5,50,官方标签确认数据
52,统一,阿萨姆奶茶无糖,瓶装奶茶,500,25,6,0.4,0.1,0.2,0,40,官方标签确认数据
53,统一,阿萨姆奶茶高纤低糖,瓶装奶茶,500,140,33,0.6,1.0,5.0,3.5,45,
54,香飘飘,奶茶(冲泡/标准浓度),瓶装奶茶,80g冲200ml,350,84,1.0,3.5,15.0,14.0,65,冲泡型 per 100ml(按200ml兑水)
55,香飘飘,MECO牛乳茶原味,瓶装奶茶,400ml,255,61,0.8,2.0,11.0,10.5,70,即饮型
56,元气森林,乳茶原味,瓶装奶茶,450,250,60,0.4,1.5,10.0,8.0,40,赤藓糖醇部分代糖
57,康师傅,原味奶茶,瓶装奶茶,250,255,61,0.8,2.0,11.0,10.5,75,
58,午后之红茶,原味奶茶(伊藤园),瓶装奶茶,500,180,43,0.5,1.0,8.5,8.0,35,日本品牌进口
59,三得利,奶茶,瓶装奶茶,350,195,47,0.5,1.5,8.5,8.0,45,
60,麒麟,午后奶茶,瓶装奶茶,500,185,44,0.5,1.2,8.8,8.3,40,
61,蒙牛,真果粒草莓奶茶,瓶装奶茶,250,225,54,2.0,1.0,10.0,9.5,70,含果粒
62,优乐美,椰果奶茶(固体冲泡),瓶装奶茶,固体冲210ml,330,79,1.0,3.0,13.5,13.0,60,冲泡型
63,星巴克,星选美式(即饮),即饮咖啡,270,20,5,0.5,0,0.5,0,8,官方标签数据 无糖
64,星巴克,星选拿铁(即饮),即饮咖啡,220,260,62,2.5,3.0,8.0,7.5,75,
65,贝纳颂,丝滑拿铁,即饮咖啡,250,290,69,2.0,3.0,9.0,8.5,70,
66,麦斯威尔,冰咖啡饮料,即饮咖啡,250,222,53,1.0,1.0,11.0,10.5,65,
67,统一,雅哈咖啡,即饮咖啡,268,280,67,1.0,2.5,12.0,11.5,65,
68,UCC,无糖黑咖啡(日本),即饮咖啡,275,17,4,0.5,0,0.5,0,10,纯黑咖啡无糖
69,伯朗,拿铁咖啡(台湾),即饮咖啡,240,280,67,1.5,3.0,9.0,8.5,70,
70,三顿半,精品咖啡原液(即饮),即饮咖啡,100,250,60,2.0,2.5,9.0,8.5,65,冷萃浓缩风格
71,隅田川,冷萃黑咖啡(即饮),即饮咖啡,150,25,6,0.5,0,1.0,0,10,无糖冷萃
72,雀巢,速溶三合一咖啡(冲泡),速溶咖啡,固体冲200ml,295,71,1.0,2.5,14.0,13.5,85,冲泡型含奶精和糖
73,雀巢,纯黑速溶咖啡(无糖),速溶咖啡,固体冲200ml,25,6,0.5,0,1.0,0,10,无糖速溶
74,星巴克,精品速溶拿铁,速溶咖啡,固体冲200ml,330,79,2.0,3.0,12.0,11.5,75,
75,三顿半,超即溶黑咖啡,速溶咖啡,固体冲100ml,35,8,1.0,0.5,1.0,0,15,精品咖啡豆速溶
76,喜茶,芝芝那提气泡茶,现制气泡茶,500,167,40,1.0,2.5,5.5,5.0,45,含芝士+咖啡+气泡
77,喜茶,多肉芒芒气泡茶,现制气泡茶,500,167,40,0.5,0.5,9.0,8.5,25,
78,奈雪的茶,粉红气泡茶,现制气泡茶,500,142,34,0.3,0,8.0,7.5,20,
