编号,品牌,商品名,类别,规格(g),能量(kJ/100g),能量(kcal/100g),蛋白质(g/100g),脂肪(g/100g),碳水化合物(g/100g),糖(g/100g),钠(mg/100g),备注
1,康师傅,红烧牛肉面,方便面,102,1976,472,9.5,21.1,61.6,2.4,1842,油炸面饼
2,康师傅,老坛酸菜牛肉面,方便面,122,1880,449,9.3,19.5,62.0,2.0,2100,油炸面饼
3,康师傅,番茄鸡蛋牛肉面,方便面,108,1920,459,9.0,20.0,63.0,3.0,1900,
4,康师傅,排骨面,方便面,100,1960,468,9.0,20.5,62.0,2.0,2000,
5,康师傅,鲜虾鱼板面,方便面,92,1900,454,9.2,20.0,61.0,2.0,1800,
6,康师傅,香辣排骨面,方便面,105,1950,466,9.0,20.5,62.0,2.0,2050,
7,康师傅,香菇炖鸡面,方便面,102,1920,459,9.0,20.0,62.0,2.0,1950,
8,康师傅,泡椒牛肉面,方便面,102,1950,466,9.2,20.5,62.0,2.0,2100,
9,康师傅,经典香辣牛肉桶面,方便面,115,1940,464,9.0,21.0,61.0,2.0,2000,桶装
10,康师傅,劲辣拌面,方便面,99,2050,490,9.5,23.0,61.0,2.5,2200,拌面
11,统一,老坛酸菜面,方便面,117,1850,442,9.0,18.5,63.0,2.0,2533,
12,统一,红烧牛肉面,方便面,118,1900,454,9.2,19.5,63.0,2.0,2100,
13,统一,满汉大餐红烧牛肉,方便面,191,1850,442,10.0,18.0,62.0,2.0,2300,大碗面
14,统一,汤达人日式豚骨,方便面,110,1800,430,9.5,18.0,62.0,2.0,1800,
15,统一,开小灶酸汤牛肉,方便面,140,1750,418,10.0,16.0,63.0,2.0,1700,
16,今麦郎,老坛酸菜面,方便面,108,1900,454,9.0,20.0,62.0,2.0,2200,
17,今麦郎,番茄鸡蛋面,方便面,108,1880,449,9.0,19.0,63.0,3.0,1900,
18,今麦郎,豚骨拉面,方便面,125,1850,442,9.0,19.0,63.0,2.0,2100,
19,今麦郎,辣么香面,方便面,108,1900,454,9.0,20.0,62.0,2.0,2300,
20,白象,大骨面红烧牛肉,方便面,107,1850,442,9.5,17.0,64.0,2.0,1800,
21,白象,大骨面香辣排骨,方便面,107,1870,447,9.0,18.0,64.0,2.0,1900,
22,日清,合味道海鲜,方便面,75,1960,468,8.5,21.0,62.0,2.0,1700,杯装
23,日清,合味道咖喱,方便面,75,2000,478,8.8,22.0,61.0,2.0,1600,杯装
24,日清,出前一丁猪骨汤,方便面,100,1900,454,10.0,20.0,61.0,2.0,2000,
25,五谷道场,非油炸牛肉面,方便面,120,1540,368,10.0,8.5,69.0,2.0,1800,非油炸
26,农心,辛拉面,方便面,120,1940,464,9.5,20.5,62.0,2.0,2100,韩式
27,三养,火鸡面原味,方便面,140,2020,483,10.0,22.0,63.0,3.0,2900,韩式极辣
28,三养,火鸡面奶油味,方便面,140,2000,478,10.0,21.0,63.0,3.0,2600,韩式
29,拉面说,猪肚鸡汤面,方便面,210,1600,382,10.5,14.0,57.0,2.0,1200,非油炸速食
30,自嗨锅,自热火锅米线,方便粉,375,1350,323,8.0,5.0,66.0,2.0,2200,自热型
31,白家陈记,阿宽红油面皮,方便粉,115,1600,382,6.0,10.0,68.0,2.0,2500,
32,白家陈记,阿宽广元酸辣粉,方便粉,120,1550,370,6.0,9.0,70.0,2.0,2400,
33,嗨吃家,酸辣粉,方便粉,128,1500,358,5.0,8.0,72.0,2.0,2500,
34,好欢螺,螺蛳粉,方便粉,270,1380,330,7.0,5.0,67.0,2.0,2800,
35,李子柒,螺蛳粉,方便粉,300,1360,325,7.0,4.5,68.0,2.0,2600,
36,柳江人家,螺蛳粉,方便粉,340,1370,327,6.5,4.5,69.0,2.0,2700,
37,莫小仙,自热米线,方便粉,280,1380,330,7.0,5.0,67.0,2.0,2300,自热型
38,卫龙,大面筋,辣条,25,1660,397,10.0,15.0,58.0,8.0,1200,素食
39,卫龙,小面筋,辣条,25,1700,406,11.0,16.0,57.0,8.0,1300,素食
40,卫龙,魔芋爽香辣味,辣条,20,514,123,1.0,9.6,5.5,1.0,1254,低卡魔芋
41,卫龙,魔芋爽素毛肚,辣条,22,500,120,1.0,9.0,5.5,1.0,1200,低卡魔芋
42,卫龙,亲嘴烧,辣条,22,1720,411,10.5,17.0,57.0,8.0,1350,
43,卫龙,辣条大礼包,辣条,100,1690,404,10.0,16.0,57.0,8.0,1280,混合装
44,三只松鼠,辣条,辣条,30,1710,409,10.0,16.5,57.0,8.0,1300,
45,良品铺子,素肉香辣豆腐干,辣条,30,1640,392,12.0,15.0,55.0,7.0,1150,
46,麻辣王子,辣条,辣条,32,1700,406,10.0,16.0,57.0,8.0,1280,
47,劲仔,辣条,辣条,20,1680,401,10.0,15.5,57.0,8.0,1200,
48,乐事,原味薯片,薯片,75,2218,530,5.5,33.0,55.0,1.5,600,经典款
49,乐事,黄瓜味薯片,薯片,75,2176,520,5.5,32.0,55.5,2.0,650,
50,乐事,青柠味薯片,薯片,70,2197,525,5.5,32.5,55.0,2.0,620,
51,乐事,原切薯片,薯片,60,2113,505,5.0,30.0,57.0,1.0,500,厚切
52,乐事,红烩味薯片,薯片,75,2176,520,5.5,32.0,55.0,2.0,680,
53,乐事,烧烤味薯片,薯片,75,2197,525,5.5,32.5,55.0,2.5,700,
54,品客,原味,薯片,110,2142,512,5.0,30.0,58.0,2.0,430,桶装
55,品客,番茄味,薯片,110,2113,505,5.0,29.0,58.0,2.5,450,桶装
56,品客,奶酪味,薯片,110,2155,515,5.5,30.0,58.0,2.0,470,桶装
57,品客,海苔味,薯片,110,2130,509,5.0,29.5,58.0,2.0,440,桶装
58,上好佳,田园薯片,薯片,40,2050,490,5.0,25.0,63.0,2.0,550,
59,上好佳,虾条,膨化食品,35,2100,502,5.0,27.0,62.0,2.0,600,
60,旺旺,雪饼,膨化食品,70,1830,437,4.0,13.0,75.0,3.0,500,
61,旺旺,仙贝,膨化食品,56,1850,442,5.0,13.5,74.0,3.0,480,
62,旺旺,大米饼,膨化食品,100,1820,435,4.0,13.0,74.0,3.0,490,
63,旺旺,小小酥,膨化食品,40,2000,478,5.0,24.0,63.0,5.0,500,
64,旺旺,浪味仙,膨化食品,35,2050,490,5.5,25.0,62.0,4.0,520,
65,旺旺,哈哈脆,膨化食品,40,1980,473,4.5,23.0,64.0,4.0,540,
66,旺旺,碎冰冰,冷饮/零食,50,360,86,1.0,0,20.0,18.0,20,固体冰品
67,劲仔,辣鱼仔,海鲜零食,22,1200,287,32.0,12.0,14.0,3.0,2000,小鱼干
68,劲仔,厚豆干,豆制品,20,800,191,15.0,8.0,12.0,2.0,900,
69,麻辣王子,土豆干,薯片,28,1750,418,2.0,14.0,70.0,5.0,1100,
70,薯愿,原味薯条,膨化食品,50,2050,490,4.5,24.0,64.0,1.0,450,
71,奥利奥,经典原味饼干,饼干,388,2050,490,5.5,21.0,70.0,37.0,370,夹心饼干
72,奥利奥,双层夹心饼干,饼干,150,2100,502,5.0,22.0,70.0,40.0,360,
73,奥利奥,薄脆饼干,饼干,100,2050,490,5.0,21.0,70.0,38.0,380,
74,奥利奥,红丝绒味,饼干,97,2080,497,5.0,21.5,71.0,39.0,360,
75,奥利奥,抹茶味,饼干,97,2070,495,5.0,21.0,71.0,38.0,355,
76,格力高,百力滋棒状饼干,饼干,35,1900,454,9.0,16.0,68.0,10.0,550,
77,格力高,必思脆威化饼干,饼干,40,2300,550,7.0,30.0,62.0,20.0,300,
78,好丽友,圆形饼干,饼干,400,2050,490,5.5,22.0,68.0,30.0,400,
79,好丽友,蒙奇奇蜂蜜黄油饼干,饼干,40,2180,521,7.0,27.0,63.0,15.0,420,
80,亿滋,趣多多曲奇,曲奇,135,2100,502,5.0,24.0,67.0,30.0,400,巧克力曲奇
81,亿滋,太平梳打饼干,饼干,200,1760,421,8.0,14.0,70.0,2.0,700,咸味苏打
82,康师傅,麦香鸡块饼干,饼干,51,1900,454,7.0,17.0,68.0,8.0,550,
83,嘉士利,果乐果香,饼干,280,2050,490,6.0,22.0,68.0,20.0,300,
84,嘉士利,早餐饼,饼干,108,1900,454,8.0,16.0,70.0,10.0,400,
85,元气森林,薄荷味米饼,饼干,60,1720,411,3.0,8.0,78.0,5.0,350,无糖
86,北京牛栏山,椒盐苏打饼干,饼干,200,1800,430,8.0,13.0,73.0,2.0,750,
87,达利园,法式软面包,蛋糕糕点,65,1340,320,7.0,10.0,53.0,15.0,350,
88,达利园,蛋黄派,蛋糕糕点,35,1800,430,5.0,18.0,62.0,30.0,300,
89,达利园,好吃点小核桃酥,饼干,280,2200,526,8.0,28.0,62.0,20.0,300,
90,达利园,可立克,饼干,80,2050,490,6.0,22.0,68.0,20.0,380,
91,好丽友,派(巧克力),蛋糕糕点,23,1890,452,3.5,23.0,59.0,27.0,270,每块
92,好丽友,蛋黄派,蛋糕糕点,23,1850,442,3.5,21.0,61.0,28.0,260,每块
93,好丽友,土豆饼干,饼干,80,2050,490,5.5,23.0,65.0,8.0,580,
94,麦提莎,麦丽素,糖果,45,2000,478,6.0,20.0,68.0,55.0,100,麦芽巧克力
95,徐福记,软糖综合装,糖果,500,1450,347,2.5,3.0,78.0,70.0,50,混合口味
96,徐福记,酥心糖,糖果,400,2000,478,5.0,20.0,71.0,60.0,80,
97,徐福记,奶糖,糖果,200,1750,418,3.5,10.0,74.0,65.0,90,
98,大白兔,奶糖,糖果,200,1670,399,4.0,8.0,76.0,70.0,100,经典上海奶糖
99,大白兔,创意款奶糖,糖果,120,1680,401,4.0,8.0,76.0,70.0,100,
100,阿尔卑斯,棒棒糖,糖果,100,1700,406,0,0,95.0,90.0,30,硬糖
101,旺仔,小馒头,膨化食品,20,1720,411,7.0,8.0,72.0,20.0,280,婴幼儿零食
102,旺仔,QQ糖,糖果,20,1380,330,4.5,0,77.0,70.0,40,果汁软糖
103,旺仔,牛奶糖,糖果,20,1700,406,4.0,9.0,72.0,65.0,90,
104,雅客,V9维生素糖果,糖果,56,1680,401,0.5,1.5,90.0,75.0,30,功能糖果
105,雅客,鲜橙VC软糖,糖果,80,1380,330,3.0,0,78.0,72.0,35,
106,阿华田,可可棒,糖果/巧克力,30,1900,454,7.0,18.0,64.0,45.0,120,
107,德芙,丝滑牛奶巧克力,巧克力,43,2250,538,7.5,32.0,56.0,52.0,65,
108,德芙,榛仁葡萄干巧克力,巧克力,43,2200,526,8.5,31.0,55.0,46.0,60,
109,德芙,摩卡杏仁巧克力,巧克力,43,2230,533,8.0,31.5,56.0,50.0,60,
110,士力架,花生夹心巧克力,巧克力,51,2050,490,8.0,24.0,62.0,48.0,170,
111,MM豆,花生夹心,巧克力,45,2050,490,8.5,24.0,61.0,52.0,90,
112,MM豆,牛奶巧克力,巧克力,45,2100,502,4.5,23.0,68.0,60.0,80,
113,费列罗,榛仁巧克力,巧克力,12.5,2400,574,8.0,38.0,49.0,40.0,50,高档巧克力
114,金帝,榛子巧克力,巧克力,120,2180,521,7.0,30.0,57.0,48.0,70,
115,好时,杏仁巧克力,巧克力,36,2250,538,8.0,33.0,53.0,45.0,65,
116,好时,经典牛奶巧克力,巧克力,43,2230,533,7.5,32.0,56.0,52.0,60,
117,吉百利,奶油脆心巧克力,巧克力,37,2200,526,5.0,28.0,62.0,55.0,70,
