编号,品牌,商品名,类别,规格,份量(每次),能量(kJ/份),能量(kcal/份),蛋白质(g/份),脂肪(g/份),碳水化合物(g/份),主要活性成分(每份),备注
1,ON,金标乳清蛋白粉(双巧克力),乳清蛋白,2.27kg,30.4g,498,119,24,1,3,乳清浓缩+分离蛋白 BCAA 5.5g,FatSecret官方数据
2,ON,金标乳清蛋白粉(香草奶油),乳清蛋白,2.27kg,30.4g,498,119,24,1,3,乳清浓缩+分离蛋白 BCAA 5.5g,
3,ON,金标分离乳清蛋白粉,分离乳清蛋白,910g,31g,502,120,25,0.5,1,WPI BCAA 5.5g,高纯度分离乳清
4,肌肉科技,白金乳清蛋白,乳清蛋白,907g,32g,564,135,25,2,4,乳清分离蛋白 BCAA 6g,
5,肌肉科技,新麻将乳清蛋白,乳清蛋白,1814g,46g,795,190,30,3.5,8,含肌酸1g+谷氨酰胺2g,复合配方
6,汤臣倍健,分离乳清蛋白粉,分离乳清蛋白,750g,25g,410,98,20,0.5,2,WPI乳清分离蛋白,国产品牌
7,汤臣倍健,乳清蛋白粉,乳清蛋白,600g,30g,523,125,22,1.5,4,WPC乳清浓缩蛋白,
8,康比特,卓越乳清蛋白,乳清蛋白,900g,30g,502,120,22,1.5,3.5,WPC+WPI混合,
9,康比特,分离乳清蛋白,分离乳清蛋白,750g,25g,418,100,21,0.5,1.5,WPI为主,
10,北欧海盗,乳清蛋白粉(草莓),乳清蛋白,1000g,30g,502,120,22,1.8,3.5,欧洲原装进口,
11,北欧海盗,分离乳清蛋白,分离乳清蛋白,1000g,28g,469,112,24,0.3,1,WPI高纯度,
12,诺特兰德,乳清蛋白粉,乳清蛋白,1000g,30g,502,120,21,2,4,性价比高 国产,
13,诺特兰德,动植物三重蛋白粉,混合蛋白,1000g,30g,502,120,20,1.5,4,乳清+豌豆+大豆蛋白,
14,天博,乳清蛋白粉,乳清蛋白,900g,30g,502,120,21,2,4,国产平价,
15,奥普帝麦,乳清蛋白粉,乳清蛋白,907g,34g,581,139,24,2.5,5,,
16,BSN,Syntha-6复合蛋白,复合蛋白,2.27kg,47g,795,190,22,6,14,6种蛋白来源,口感好 慢释放
17,MusclePharm,战神蛋白粉,混合蛋白,907g,32g,544,130,25,1.5,5,5种蛋白混合,
18,Dymatize,Elite乳清蛋白,乳清蛋白,2.27kg,36g,590,141,25,2,5,BCAA 5.5g,
19,Isopure,零碳水分离乳清,分离乳清蛋白,454g,31g,502,120,25,0,0,零碳水 纯WPI,
20,训练怪兽,乳清蛋白粉,乳清蛋白,1000g,30g,502,120,21,2,4,国产新兴品牌,
21,星期一,乳清蛋白粉,乳清蛋白,500g,25g,418,100,19,1.5,3,,
22,MyProtein,Impact Whey冲击乳清,乳清蛋白,1000g,25g,418,100,20,1.8,3,英国进口,
23,MyProtein,冲击分离乳清,分离乳清蛋白,1000g,25g,418,100,22,0.2,1,英国进口WPI,
24,Scitec Nutrition,百分百乳清蛋白,乳清蛋白,920g,30g,502,120,21,2,4,欧洲进口,
25,AllMax,Isoflex分离乳清,分离乳清蛋白,907g,27g,452,108,27,0,0,高纯WPI,
26,Reflex,卵白蛋白粉,混合蛋白,909g,27g,452,108,21,1.5,3,鸡蛋蛋白为主,
27,乐力,乳清蛋白粉,乳清蛋白,750g,30g,523,125,22,1.5,4,,
28,蛋白时代,WPC80散装乳清,乳清蛋白,500g,30g,502,120,21,2,4,散装原料品牌,
29,怡可纳,酵母蛋白粉,植物蛋白,600g,30g,477,114,16,2.5,6,酵母来源蛋白 非动物,
30,好蛋白,植物蛋白粉,植物蛋白,600g,30g,502,120,20,2,5,豌豆+大米蛋白,
31,MyProtein,豌豆蛋白粉,植物蛋白,1000g,25g,418,100,20,2,2,纯豌豆分离蛋白,
32,NOW Foods,豌豆蛋白,植物蛋白,907g,33g,544,130,24,2,5,美国进口,
33,Garden of Life,有机植物蛋白,植物蛋白,660g,39g,644,154,22,3.5,10,有机认证 含益生菌+酶,
34,Vega,植物蛋白粉,植物蛋白,540g,38g,627,150,20,4,10,含铁+维生素,
35,诺特兰德,豌豆蛋白粉,植物蛋白,1000g,30g,523,125,21,2.5,5,国产性价比,
36,康比特,大豆蛋白粉,大豆蛋白,750g,30g,502,120,22,1,4,大豆分离蛋白,
37,汤臣倍健,大豆蛋白粉,大豆蛋白,600g,25g,418,100,19,1,3,,
38,超级身型,大米蛋白粉,植物蛋白,500g,30g,502,120,20,2,5,米蛋白 低敏,
39,肌肉科技,植物蛋白粉,植物蛋白,907g,46g,774,185,30,3,10,植物综合蛋白,
40,天博,豌豆+大米混合蛋白,植物蛋白,1000g,30g,502,120,20,2,5,,
41,ON,金标酪蛋白粉,酪蛋白,1.8kg,34g,544,130,24,1,4,慢释放酪蛋白 睡前,
42,Dymatize,Elite酪蛋白,酪蛋白,1.8kg,36g,569,136,25,1,5,缓释蛋白,
43,肌肉科技,Phase8复合蛋白,复合蛋白,2.09kg,52g,870,208,26,6,16,8种蛋白混合8小时缓释,
44,MusclePharm,Combat蛋白粉,复合蛋白,1.8kg,35g,577,138,25,3,6,酪蛋白+乳清混合,
45,BSN,True-Mass增重蛋白,增重复合蛋白,2.61kg,86g,1422,340,46,6,24,高蛋白增重配方,
46,肌肉科技,成真增肌粉,增肌粉,6.8kg,336g,5527,1320,50,5,255,高碳水增重,
47,ON,Serious Mass认真增重,增肌粉,5.45kg,334g,5485,1310,50,4.5,252,高碳水增肌粉,
48,BSN,True-Mass 1200,增肌粉,4.56kg,330g,5068,1210,50,17,220,含MCT油脂,
49,汤臣倍健,增肌蛋白粉,增肌粉,1.5kg,75g,1255,300,25,3,45,中等碳水增肌配方,
50,诺特兰德,增肌粉,增肌粉,1.5kg,100g,1674,400,30,3,70,国产性价比增重,
51,康比特,增能增肌粉,增肌粉,1.5kg,100g,1632,390,28,4,65,,
52,训练怪兽,增肌粉,增肌粉,1000g,80g,1339,320,24,3,52,,
53,Universal,Real Gains增重,增肌粉,3.81kg,151g,2468,590,52,3,95,,
54,ON,微粉化一水肌酸,一水肌酸,634g,5g,0,0,0,0,0,肌酸一水化合物5000mg,德国Creapure认证
55,肌肉科技,铂金100%纯肌酸,一水肌酸,400g,5g,0,0,0,0,0,肌酸一水化合物5000mg,
56,诺特兰德,肌酸粉,一水肌酸,500g,5g,0,0,0,0,0,肌酸一水化合物5000mg,
57,汤臣倍健,肌酸胶囊,一水肌酸,140粒,2粒,0,0,0,0,0,肌酸一水化合物2000mg,
58,康比特,卓越肌酸,一水肌酸,300g,5g,0,0,0,0,0,肌酸一水化合物5000mg,
59,NOW Foods,一水肌酸粉,一水肌酸,500g,5g,0,0,0,0,0,肌酸一水化合物5000mg,美国进口
60,AllMax,Creapure肌酸,一水肌酸,400g,5g,0,0,0,0,0,肌酸一水化合物5000mg,德国Creapure认证
61,肌肉科技,Cell-Tech磷酸肌酸,复合肌酸,1.4kg,47g,603,144,4,0,34,肌酸5g+碳水34g(促吸收),
62,训练怪兽,盐酸肌酸,盐酸肌酸,100g,2g,0,0,0,0,0,盐酸肌酸750mg 高吸收率,
63,Kre-Alkalyn,缓冲肌酸胶囊,缓冲肌酸,240粒,3粒,0,0,0,0,0,缓冲pH型肌酸1500mg,
64,ON,金标BCAA粉,BCAA,266g,7g,33,8,1.8,0,0,亮氨酸2.5g+异亮2.5g+缬氨酸1.25g 2:1:1,
65,MyProtein,BCAA粉,BCAA,500g,10g,42,10,2.5,0,0,BCAA 5g 2:1:1比例,
